state,frac,seq,AA,AS,B6,DL,EV,F9,HA,NK,OO,UA,VX,WN
CA,1,0,8289,3194,,6617,,,,,10785,9384,3241,19625
CA,100,1,10000,3600,,7000,,,,,12300,9100,2300,16800
CA,100,2,6800,3400,,6200,,,,,9700,8700,2400,23900
CA,100,3,8300,3500,,6800,,,,,11200,8900,3000,19400
CA,100,4,8600,3000,,5600,,,,,10500,9700,3800,19900
CA,100,5,7500,3600,,8000,,,,,9700,10000,3700,18600
CA,100,6,7800,3200,,7700,,,,,11700,9900,3400,17400
CA,100,7,8700,2600,,7000,,,,,8900,9400,3600,20900
CA,100,8,8900,3400,,6600,,,,,11700,8900,4600,17000
CA,100,9,9100,2600,,8500,,,,,10700,7600,2200,20400
CA,100,10,7700,3200,,7100,,,,,11100,7400,3400,21200
CA,100,11,8100,3600,,6700,,,,,10300,9900,2700,19800
CA,100,12,7500,3000,,6400,,,,,10200,11000,3700,19300
CA,100,13,6800,3800,,6000,,,,,9700,9800,3400,21600
CA,100,14,9300,3600,,7400,,,,,11100,7800,3100,18800
CA,100,15,7500,3600,,7000,,,,,10900,10000,3500,18600
CA,100,16,7500,3700,,8100,,,,,10300,9900,3100,18500
CA,100,17,8100,3100,,8800,,,,,10700,7400,4900,18100
CA,100,18,9200,2800,,5500,,,,,10800,10600,3000,19200
CA,100,19,9300,3900,,5600,,,,,9900,9000,3200,20200
CA,100,20,7400,3500,,7000,,,,,9900,9100,3000,21200
CA,200,1,6800,3400,,8400,,,,,12400,7600,3600,19000
CA,200,2,8800,3600,,6600,,,,,7200,10400,5400,19200
CA,200,3,5800,4600,,6800,,,,,9400,9400,4200,21000
CA,200,4,8800,2200,,6000,,,,,10600,9400,5000,19200
CA,200,5,10600,3400,,6600,,,,,10400,8000,2800,19400
CA,200,6,9200,3400,,4200,,,,,9400,8800,4600,21600
CA,200,7,8000,3800,,6200,,,,,10400,10000,1600,21200
CA,200,8,7800,3400,,8000,,,,,9200,6400,4400,22000
CA,200,9,8600,3600,,7600,,,,,10800,10000,2600,18000
CA,200,10,7600,4400,,6400,,,,,10400,9200,3600,19600
CA,200,11,6200,4000,,5600,,,,,10800,12000,3400,19200
CA,200,12,7000,3600,,7200,,,,,10200,8600,2800,21800
CA,200,13,8600,4400,,3600,,,,,11600,8800,3800,20400
CA,200,14,7000,1600,,8000,,,,,12600,9000,3400,19600
CA,200,15,7200,2600,,6800,,,,,9400,11200,4000,20000
CA,200,16,8600,1200,,7600,,,,,11000,10200,2200,20400
CA,200,17,10000,3400,,7400,,,,,9600,8000,2800,20000
CA,200,18,9600,3000,,7200,,,,,12400,9200,3200,16600
CA,200,19,8200,4200,,6400,,,,,8200,9600,4000,20600
CA,200,20,6000,3000,,7600,,,,,10000,10600,2600,21400
CA,500,1,9500,6500,,5000,,,,,12000,7500,4500,16000
CA,500,2,7500,2000,,7500,,,,,12500,8000,4500,19000
