frac,seq,NY,FL,MA,CA,VA,PR,NJ
1,0,5085,4986,3928,1887,961,950,327
1,1,5085,4986,3928,1887,961,950,327
10,2,5085,4986,3928,1887,961,950,327
10,3,5085,4986,3928,1887,961,950,327
10,4,5085,4986,3928,1887,961,950,327
10,5,5085,4986,3928,1887,961,950,327
10,6,5085,4986,3928,1887,961,950,327
10,7,5085,4986,3928,1887,961,950,327
10,8,5085,4986,3928,1887,961,950,327
10,9,5085,4986,3928,1887,961,950,327
10,10,5085,4986,3928,1887,961,950,327
10,11,5085,4986,3928,1887,961,950,327
10,12,5085,4986,3928,1887,961,950,327
10,13,5085,4986,3928,1887,961,950,327
10,14,5085,4986,3928,1887,961,950,327
10,15,5085,4986,3928,1887,961,950,327
10,16,5085,4986,3928,1887,961,950,327
10,17,5085,4986,3928,1887,961,950,327
10,18,5085,4986,3928,1887,961,950,327
10,19,5085,4986,3928,1887,961,950,327
10,20,5085,4986,3928,1887,961,950,327
10,21,5085,4986,3928,1887,961,950,327
100,2,5085,4986,3928,1887,961,950,327
100,3,5085,4986,3928,1887,961,950,327
100,4,5085,4986,3928,1887,961,950,327
100,5,5085,4986,3928,1887,961,950,327
100,6,5085,4986,3928,1887,961,950,327
100,7,5085,4986,3928,1887,961,950,327
100,8,5085,4986,3928,1887,961,950,327
100,9,5085,4986,3928,1887,961,950,327
100,10,5085,4986,3928,1887,961,950,327
100,11,5085,4986,3928,1887,961,950,327
100,12,5085,4986,3928,1887,961,950,327
100,13,5085,4986,3928,1887,961,950,327
100,14,5085,4986,3928,1887,961,950,327
100,15,5085,4986,3928,1887,961,950,327
100,16,5085,4986,3928,1887,961,950,327
100,17,5085,4986,3928,1887,961,950,327
100,18,5085,4986,3928,1887,961,950,327
100,19,5085,4986,3928,1887,961,950,327
100,20,5085,4986,3928,1887,961,950,327
100,21,5085,4986,3928,1887,961,950,327
200,2,5085,4986,3928,1887,961,950,327
200,3,5085,4986,3928,1887,961,950,327
200,4,5085,4986,3928,1887,961,950,327
200,5,5085,4986,3928,1887,961,950,327
200,6,5085,4986,3928,1887,961,950,327
200,7,5085,4986,3928,1887,961,950,327
200,8,5085,4986,3928,1887,961,950,327
200,9,5085,4986,3928,1887,961,950,327
200,10,5085,4986,3928,1887,961,950,327
200,11,5085,4986,3928,1887,961,950,327
200,12,5085,4986,3928,1887,961,950,327
200,13,5085,4986,3928,1887,961,950,327
200,14,5085,4986,3928,1887,961,950,327
200,15,5085,4986,3928,1887,961,950,327
200,16,5085,4986,3928,1887,961,950,327
200,17,5085,4986,3928,1887,961,950,327
200,18,5085,4986,3928,1887,961,950,327
200,19,5085,4986,3928,1887,961,950,327
200,20,5085,4986,3928,1887,961,950,327
200,21,5085,4986,3928,1887,961,950,327
500,2,5085,4986,3928,1887,961,950,327
500,3,5085,4986,3928,1887,961,950,327
500,4,5085,4986,3928,1887,961,950,327
500,5,5085,4986,3928,1887,961,950,327
500,6,5085,4986,3928,1887,961,950,327
500,7,5085,4986,3928,1887,961,950,327
500,8,5085,4986,3928,1887,961,950,327
500,9,5085,4986,3928,1887,961,950,327
500,10,5085,4986,3928,1887,961,950,327
500,11,5085,4986,3928,1887,961,950,327
500,12,5085,4986,3928,1887,961,950,327
500,13,5085,4986,3928,1887,961,950,327
500,14,5085,4986,3928,1887,961,950,327
500,15,5085,4986,3928,1887,961,950,327
500,16,5085,4986,3928,1887,961,950,327
500,17,5085,4986,3928,1887,961,950,327
500,18,5085,4986,3928,1887,961,950,327
500,19,5085,4986,3928,1887,961,950,327
500,20,5085,4986,3928,1887,961,950,327
500,21,5085,4986,3928,1887,961,950,327
1000,2,5085,4986,3928,1887,961,950,327
1000,3,5085,4986,3928,1887,961,950,327
1000,4,5085,4986,3928,1887,961,950,327
1000,5,5085,4986,3928,1887,961,950,327
1000,6,5085,4986,3928,1887,961,950,327
1000,7,5085,4986,3928,1887,961,950,327
1000,8,5085,4986,3928,1887,961,950,327
1000,9,5085,4986,3928,1887,961,950,327
1000,10,5085,4986,3928,1887,961,950,327
1000,11,5085,4986,3928,1887,961,950,327
1000,12,5085,4986,3928,1887,961,950,327
1000,13,5085,4986,3928,1887,961,950,327
1000,14,5085,4986,3928,1887,961,950,327
1000,15,5085,4986,3928,1887,961,950,327
1000,16,5085,4986,3928,1887,961,950,327
1000,17,5085,4986,3928,1887,961,950,327
1000,18,5085,4986,3928,1887,961,950,327
1000,19,5085,4986,3928,1887,961,950,327
1000,20,5085,4986,3928,1887,961,950,327
1000,21,5085,4986,3928,1887,961,950,327
