id,userAgent,isMobile,studyCondition,firstCondition,seqAirline,errorStates,seqStates,focusState,focusAirline,secondCondition,errorAirline,approx.airline.howManyCompare.0.answer,approx.airline.howManyCompare.0.data,approx.airline.howManyCompare.0.approx,approx.airline.howManyCompare.0.confidence,approx.airline.howMany.answer,approx.airline.howMany.approx,approx.airline.howMany.confidence,approx.airline.howManyCompare.1.answer,approx.airline.howManyCompare.1.data,approx.airline.howManyCompare.1.approx,approx.airline.howManyCompare.1.confidence,approx.states.howManyCompare.0.answer,approx.states.howManyCompare.0.data,approx.states.howManyCompare.0.approx,approx.states.howManyCompare.0.confidence,approx.states.howMany.answer,approx.states.howMany.approx,approx.states.howMany.confidence,approx.states.howManyCompare.1.answer,approx.states.howManyCompare.1.data,approx.states.howManyCompare.1.approx,approx.states.howManyCompare.1.confidence,precise.airline.didYouNotice.answer,precise.airline.didYouNotice.true,precise.airline.didYouNotice.confidence,precise.airline.howManyCompare.0.answer,precise.airline.howManyCompare.0.data,precise.airline.howManyCompare.0.approx,precise.airline.howManyCompare.0.precise,precise.airline.howManyCompare.0.confidence,precise.airline.howMany.answer,precise.airline.howMany.approx,precise.airline.howMany.precise,precise.airline.howMany.confidence,precise.airline.SelectAll.confidence,precise.airline.SelectAll.answer,precise.airline.SelectAll.approx,precise.airline.SelectAll.precise,precise.airline.SelectAll.jaccard_answer_precise,precise.airline.SelectAll.jaccard_approx_precise,precise.airline.SelectAll.jaccard_approx_answer,precise.airline.howManyCompare.1.answer,precise.airline.howManyCompare.1.data,precise.airline.howManyCompare.1.approx,precise.airline.howManyCompare.1.precise,precise.airline.howManyCompare.1.confidence,precise.airline.howManyCompare.2.answer,precise.airline.howManyCompare.2.data,precise.airline.howManyCompare.2.approx,precise.airline.howManyCompare.2.precise,precise.airline.howManyCompare.2.confidence,precise.states.didYouNotice.answer,precise.states.didYouNotice.true,precise.states.didYouNotice.confidence,precise.states.howMany.answer,precise.states.howMany.approx,precise.states.howMany.precise,precise.states.howMany.confidence,precise.states.howManyCompare.0.answer,precise.states.howManyCompare.0.data,precise.states.howManyCompare.0.approx,precise.states.howManyCompare.0.precise,precise.states.howManyCompare.0.confidence,precise.states.howManyCompare.1.answer,precise.states.howManyCompare.1.data,precise.states.howManyCompare.1.approx,precise.states.howManyCompare.1.precise,precise.states.howManyCompare.1.confidence,precise.states.howManyCompare.2.answer,precise.states.howManyCompare.2.data,precise.states.howManyCompare.2.approx,precise.states.howManyCompare.2.precise,precise.states.howManyCompare.2.confidence,precise.states.SelectAll.confidence,precise.states.SelectAll.answer,precise.states.SelectAll.approx,precise.states.SelectAll.precise,precise.states.SelectAll.jaccard_answer_precise,precise.states.SelectAll.jaccard_approx_precise,precise.states.SelectAll.jaccard_approx_answer,timing.approximate_questions_first_html,timing.approximate_second_html,timing.precise_questions_html,timing.approximate_questions_second_html,timing.precise_instructions_html,timing.demographics_html,timing.precise_first_html,timing.approximate_first_html,timing.instructions_html,timing.index_html,timing.precise_second_html,timing.thanks_html,demographics.problems,demographics.troubles,demographics.improved,demographics.gender,demographics.age,demographics.familiar,demographics.cheat
28653725,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",False,difference,airline,14,1,1,FL,AA,states,200,-1001,B6,5200,strong_agree,3900,3600,weak_agree,2000,WN,1800,agree,1000,MA,3928,strong_agree,5000,4986,strong_agree,4000,VA,961,strong_agree,True,True,agree,-1000,DL,5600,5163,agree,4300,3600,4088,agree,strong_agree,"UA,AA,VX,DL,WN,EV,B6","UA,AA,VX,DL,EV,B6,WN","UA,AA,VX,DL,EV,B6,WN",1.0,1.0,1.0,4000,UA,200,583,agree,2000,WN,1800,2155,agree,False,False,strong_agree,4800,4986,4986,strong_agree,-200,NY,5085,5085,strong_agree,3200,CA,1887,1887,agree,3800,PR,950,950,agree,strong_agree,"CA,FL,VA,MA,NY,NJ,PR","CA,FL,VA,MA,PR,NJ,NY","CA,FL,VA,MA,PR,NJ,NY",1.0,1.0,1.0,39807,17777,189774,36402,7108,18493,22856,34604,8166,1518,15810,17836,none,no,none,male,30,familiar,no
60755967,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,False,difference,airline,12,100,19,NY,AA,states,1000,4000,DL,6000,strong_disagree,5000,5000,strong_agree,3000,UA,1000,disagree,1000,MA,4200,strong_disagree,4200,5000,disagree,1500,PR,900,neutral,True,True,strong_agree,-1000,DL,6000,5163,weak_agree,4250,5000,4088,weak_agree,weak_agree,"UA,AA,DL,B6","UA,AA,DL,B6","UA,AA,VX,DL,EV,B6,WN",0.5714285714285714,0.5714285714285714,1.0,3500,UA,1000,583,weak_agree,1000,B6,7000,5113,unknown,True,True,strong_agree,4500,5000,5085,weak_agree,4000,NJ,300,327,agree,1000,MA,4200,3928,disagree,5000,PR,900,950,neutral,agree,"VA,MA,NY,NJ,PR","CA,FL,VA,MA,PR,NJ,NY","CA,FL,VA,MA,PR,NJ,NY",0.7142857142857143,1.0,0.7142857142857143,21317,17435,,,32499,,25611,17904,3484,28231,13964,45717,,no,,female,28,familiar,no
87912012,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",False,onlyNew,states,14,1,1,FL,AA,airline,200,2000,VX,200,weak_disagree,3500,3600,strong_agree,600,DL,5600,weak_agree,-200,NY,5085,agree,5000,4986,strong_agree,400,CA,1887,agree,True,True,weak_agree,1500,VX,200,153,weak_disagree,4200,3600,4088,weak_disagree,weak_agree,"AA,VX,DL,WN,EV,B6","UA,AA,VX,DL,EV,B6,WN","UA,AA,VX,DL,EV,B6,WN",0.8571428571428571,1.0,0.8571428571428571,-400,B6,5200,5113,weak_agree,1000,WN,1800,2155,weak_disagree,True,False,agree,4900,4986,4986,strong_agree,3400,NJ,327,327,weak_agree,2000,CA,1887,1887,agree,2000,PR,950,950,strong_disagree,weak_disagree,"CA,FL,VA,MA,NY,NJ","CA,FL,VA,MA,PR,NJ,NY","CA,FL,VA,MA,PR,NJ,NY",0.8571428571428571,1.0,0.8571428571428571,41039,34033,142468,50485,5296,23508,28255,24134,30481,7544,34611,6907,no,no,none thank you,male,44,expert,no
50263296,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,False,difference,states,5,500,7,FL,AA,airline,100,1000,DL,4500,agree,5500,5500,strong_agree,5000,UA,700,agree,5000,NJ,500,strong_agree,5500,5500,strong_agree,3000,VA,1500,agree,True,True,strong_agree,-2000,DL,4500,5163,weak_agree,4000,5500,4088,agree,strong_agree,"UA,AA,VX,DL,WN,EV,B6","UA,AA,VX,DL,EV,B6,WN","UA,AA,VX,DL,EV,B6,WN",1.0,1.0,1.0,3000,UA,700,583,weak_agree,-1000,B6,4000,5113,weak_agree,True,True,strong_agree,5000,5500,4986,strong_agree,5000,NJ,500,327,strong_agree,1000,MA,1500,3928,agree,4000,VA,1500,961,strong_agree,strong_agree,"CA,FL,VA,MA,NY,NJ,PR","CA,FL,VA,MA,PR,NJ,NY","CA,FL,VA,MA,PR,NJ,NY",1.0,1.0,1.0,60470,60142,227829,46440,8255,23022,35876,62632,74622,18918,34451,19325,no,no,no,female,43,expert,no
30619584,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,False,both,airline,16,200,4,FL,AA,states,1000,-900,B6,5000,weak_agree,1800,2000,weak_agree,-600,EV,4000,weak_agree,-600,NY,5000,weak_agree,4400,4200,weak_agree,3600,VA,800,weak_agree,False,True,neutral,600,UA,1000,583,weak_agree,1800,2000,4088,neutral,strong_agree,"UA,AA,DL,EV,B6,WN","UA,AA,DL,EV,B6,WN","UA,AA,VX,DL,EV,B6,WN",0.8571428571428571,0.8571428571428571,1.0,-3000,B6,5000,5113,weak_agree,-1200,WN,4000,2155,weak_agree,False,True,weak_agree,200,4200,4986,weak_disagree,99,NY,5000,5085,neutral,-300,CA,2000,1887,disagree,400,VA,800,961,strong_disagree,weak_disagree,"CA,FL,IL,TX,VA,MA,NY","CA,FL,VA,MA,PR,NJ,NY","CA,FL,VA,MA,PR,NJ,NY",0.5555555555555556,1.0,0.5555555555555556,88097,19609,265048,79659,7992,92158,19461,47978,32714,4674,37566,40719,no,no,no,female,28,some,no
76632955,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36",False,onlyNew,states,11,200,15,FL,AA,airline,100,1000,VX,200,strong_disagree,2100,4400,strong_disagree,500,WN,1700,strong_disagree,900,MA,3800,strong_disagree,4000,4000,strong_agree,200,CA,2200,strong_disagree,True,True,neutral,200,DL,4600,5163,strong_disagree,1100,4400,4088,strong_disagree,disagree,"AA,VX,WN,EV,B6","UA,AA,VX,DL,EV,B6,WN","UA,AA,VX,DL,EV,B6,WN",0.7142857142857143,1.0,0.7142857142857143,100,B6,5400,5113,strong_disagree,-100,EV,2500,1998,strong_disagree,True,True,agree,5000,4000,4986,strong_disagree,100,PR,1200,950,strong_disagree,100,CA,2200,1887,strong_disagree,,,,,,strong_disagree,"CA,FL,MA,TX,VA,GA,NY","CA,FL,VA,MA,PR,NJ,NY","CA,FL,VA,MA,PR,NJ,NY",0.5555555555555556,1.0,0.5555555555555556,63676,156227,828820,169478,815773,52492,32185,48131,11657746,11492419,46066,4861816,no,no,I'm not sure now whether I was allowed to write things down.,female,28,none,no
51665387,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",False,both,airline,3,200,18,MA,B6,states,500,4100,WN,1000,weak_agree,4900,5000,strong_agree,4100,UA,1000,weak_agree,3000,NJ,400,weak_agree,3400,3400,agree,1200,CA,2200,weak_agree,True,True,strong_agree,4500,UA,1000,583,weak_agree,5100,5000,5113,strong_agree,strong_agree,"UA,VX,DL,WN,EV,B6","UA,AA,VX,DL,EV,B6,WN","UA,AA,VX,DL,EV,B6,WN",0.8571428571428571,1.0,0.8571428571428571,5000,VX,500,153,weak_agree,3000,EV,2500,1998,weak_agree,True,True,strong_agree,3900,3400,3928,strong_agree,2000,CA,2200,1887,weak_agree,3000,PR,1400,950,weak_agree,-1000,FL,4800,4986,weak_agree,strong_agree,"CA,FL,MA,NY,NJ,PR","CA,FL,VA,MA,PR,NJ,NY","CA,FL,VA,MA,PR,NJ,NY",0.8571428571428571,1.0,0.8571428571428571,47007,14814,514676,44026,8722,24875,12796,35977,8000,2496,17334,1249144,no,no,no,Male,39,familiar,no
25917069,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",False,both,airline,15,1000,15,FL,DL,states,200,1500,B6,4000,agree,5200,5400,strong_agree,5000,UA,600,agree,4000,NY,9000,agree,3700,4000,strong_agree,1000,CA,2000,agree,True,True,strong_agree,2000,AA,3800,4088,weak_agree,5000,5400,5163,weak_agree,weak_agree,"UA,AA,VX,DL,WN,EV,B6","UA,AA,DL,EV,B6,WN","UA,AA,VX,DL,EV,B6,WN",1.0,0.8571428571428571,0.8571428571428571,3000,B6,4000,5113,weak_agree,5000,EV,2400,1998,weak_agree,True,True,strong_agree,4500,4000,4986,weak_agree,-100,NY,9000,5085,strong_agree,1000,CA,2000,1887,weak_agree,1000,MA,2000,3928,weak_agree,weak_agree,"CA,FL,MA,NY","CA,FL,VA,MA,NY","CA,FL,VA,MA,PR,NJ,NY",0.5714285714285714,0.7142857142857143,0.8,52130,17669,75360,18845,2951,13630,12020,866229,14361,,11390,7509,-,no,-,male,29,expert,no
2893057,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36 OPR/41.0.0.235319328 (Edition EXP50)",False,both,airline,5,200,17,FL,AA,states,100,3000,EV,1900,agree,5000,5500,agree,2000,WN,2500,agree,6000,NJ,400,agree,6500,6400,strong_agree,2000,CA,1400,neutral,False,True,disagree,2000,B6,4000,5113,disagree,6000,5500,4088,weak_disagree,weak_agree,"AA,VX,EV,B6","UA,AA,VX,DL,EV,B6,WN","UA,AA,VX,DL,EV,B6,WN",0.5714285714285714,1.0,0.5714285714285714,3444,EV,1900,1998,neutral,500,WN,2500,2155,strong_disagree,False,True,weak_disagree,6000,6400,4986,neutral,2500,NY,3800,5085,disagree,3000,MA,4200,3928,disagree,2000,VA,800,961,strong_disagree,weak_disagree,"CA,FL,VA,NY,NJ","CA,FL,VA,MA,PR,NJ,NY","CA,FL,VA,MA,PR,NJ,NY",0.7142857142857143,1.0,0.7142857142857143,37180,21532,,28645,3941,14901,14804,34029,8287,5171,14921,50814,no,no,longer timer,Male,32,none,no
76648162,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",False,both,airline,20,100,20,NY,AA,states,200,-1400,DL,4400,weak_agree,4600,4600,agree,300,UA,600,disagree,2400,NJ,500,disagree,20000,4900,strong_disagree,5000,VA,1400,disagree,True,True,weak_agree,500,UA,600,583,strong_disagree,5100,4600,4088,weak_disagree,weak_agree,"UA,AA,DL,EV,B6,WN","UA,AA,DL,EV,B6,WN","UA,AA,VX,DL,EV,B6,WN",0.8571428571428571,0.8571428571428571,1.0,3000,EV,1400,1998,weak_disagree,2200,WN,2200,2155,strong_disagree,True,True,weak_agree,5100,4900,5085,agree,2300,MA,3400,3928,neutral,3000,PR,1200,950,weak_disagree,2000,VA,1400,961,weak_disagree,agree,"FL,VA,MA,NY,NJ,PR","CA,FL,VA,MA,PR,NJ,NY","CA,FL,VA,MA,PR,NJ,NY",0.8571428571428571,1.0,0.8571428571428571,75826,83127,134424,84506,6391,35418,88129,52391,54300,22994,23188,32408,No technical problems,no,No comments,Male,44,familiar,no
