id,userAgent,isMobile,studyCondition,firstCondition,seqAirline,errorStates,seqStates,focusState,focusAirline,secondCondition,errorAirline,approx.airline.howManyCompare.0.answer,approx.airline.howManyCompare.0.data,approx.airline.howManyCompare.0.approx,approx.airline.howManyCompare.0.confidence,approx.airline.howMany.answer,approx.airline.howMany.approx,approx.airline.howMany.confidence,approx.airline.howManyCompare.1.answer,approx.airline.howManyCompare.1.data,approx.airline.howManyCompare.1.approx,approx.airline.howManyCompare.1.confidence,approx.states.howManyCompare.0.answer,approx.states.howManyCompare.0.data,approx.states.howManyCompare.0.approx,approx.states.howManyCompare.0.confidence,approx.states.howMany.answer,approx.states.howMany.approx,approx.states.howMany.confidence,approx.states.howManyCompare.1.answer,approx.states.howManyCompare.1.data,approx.states.howManyCompare.1.approx,approx.states.howManyCompare.1.confidence,precise.airline.didYouNotice.answer,precise.airline.didYouNotice.true,precise.airline.didYouNotice.confidence,precise.airline.howManyCompare.0.answer,precise.airline.howManyCompare.0.data,precise.airline.howManyCompare.0.approx,precise.airline.howManyCompare.0.precise,precise.airline.howManyCompare.0.confidence,precise.airline.howMany.answer,precise.airline.howMany.approx,precise.airline.howMany.precise,precise.airline.howMany.confidence,precise.airline.SelectAll.confidence,precise.airline.SelectAll.answer,precise.airline.SelectAll.approx,precise.airline.SelectAll.precise,precise.airline.SelectAll.jaccard_answer_precise,precise.airline.SelectAll.jaccard_approx_precise,precise.airline.SelectAll.jaccard_approx_answer,precise.airline.howManyCompare.1.answer,precise.airline.howManyCompare.1.data,precise.airline.howManyCompare.1.approx,precise.airline.howManyCompare.1.precise,precise.airline.howManyCompare.1.confidence,precise.airline.howManyCompare.2.answer,precise.airline.howManyCompare.2.data,precise.airline.howManyCompare.2.approx,precise.airline.howManyCompare.2.precise,precise.airline.howManyCompare.2.confidence,precise.states.didYouNotice.answer,precise.states.didYouNotice.true,precise.states.didYouNotice.confidence,precise.states.howMany.answer,precise.states.howMany.approx,precise.states.howMany.precise,precise.states.howMany.confidence,precise.states.howManyCompare.0.answer,precise.states.howManyCompare.0.data,precise.states.howManyCompare.0.approx,precise.states.howManyCompare.0.precise,precise.states.howManyCompare.0.confidence,precise.states.howManyCompare.1.answer,precise.states.howManyCompare.1.data,precise.states.howManyCompare.1.approx,precise.states.howManyCompare.1.precise,precise.states.howManyCompare.1.confidence,precise.states.howManyCompare.2.answer,precise.states.howManyCompare.2.data,precise.states.howManyCompare.2.approx,precise.states.howManyCompare.2.precise,precise.states.howManyCompare.2.confidence,precise.states.SelectAll.confidence,precise.states.SelectAll.answer,precise.states.SelectAll.approx,precise.states.SelectAll.precise,precise.states.SelectAll.jaccard_answer_precise,precise.states.SelectAll.jaccard_approx_precise,precise.states.SelectAll.jaccard_approx_answer,timing.approximate_questions_first_html,timing.approximate_second_html,timing.precise_questions_html,timing.approximate_questions_second_html,timing.precise_instructions_html,timing.demographics_html,timing.precise_first_html,timing.approximate_first_html,timing.instructions_html,timing.index_html,timing.precise_second_html,timing.thanks_html,demographics.problems,demographics.troubles,demographics.improved,demographics.gender,demographics.age,demographics.familiar,demographics.cheat
7321301,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",False,difference,states,12,1,1,MA,DL,airline,100,2500,B6,4700,weak_disagree,5000,5000,agree,3300,EV,1600,strong_agree,1400,PR,950,disagree,3500,3928,agree,-1500,FL,4986,agree,True,True,agree,200,AA,5300,4088,strong_disagree,2800,5000,5163,weak_agree,strong_agree,"UA,AA,DL,EV,B6","UA,AA,DL,EV,B6,WN","UA,AA,VX,DL,EV,B6,WN",0.7142857142857143,0.8571428571428571,0.8333333333333334,1200,UA,800,583,weak_agree,1000,B6,4700,5113,agree,True,False,strong_agree,3400,3928,3928,weak_agree,3500,CA,1887,1887,disagree,2000,PR,950,950,agree,200,VA,961,961,strong_disagree,agree,"VA,MA,NY,NJ,PR","CA,FL,VA,MA,PR,NJ,NY","CA,FL,VA,MA,PR,NJ,NY",0.7142857142857143,1.0,0.7142857142857143,25798,13724,111531,25278,3750,28502,31174,22439,12449,5357,19730,1154967,-,no,-,Male,28,some,no
97626871,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",False,onlyNew,airline,11,100,7,MA,DL,states,1000,-1000,EV,4000,weak_agree,5000,5000,agree,-2500,WN,3000,agree,1500,NJ,100,weak_disagree,3600,3600,agree,3000,PR,1300,weak_agree,True,True,agree,2000,AA,2000,4088,weak_disagree,5200,5000,5163,agree,agree,"UA,AA,VX,DL,WN,EV,B6","UA,AA,VX,DL,EV,B6,WN","UA,AA,VX,DL,EV,B6,WN",1.0,1.0,1.0,500,UA,1000,583,strong_disagree,3000,VX,1000,153,strong_disagree,True,True,weak_agree,3700,3600,3928,strong_agree,2000,NJ,100,327,disagree,1000,CA,1700,1887,neutral,-500,FL,5700,4986,weak_agree,agree,"CA,FL,VA,MA,NY,NJ,PR","CA,FL,VA,MA,PR,NJ,NY","CA,FL,VA,MA,PR,NJ,NY",1.0,1.0,1.0,27179,23435,164922,33898,3271,22705,20725,112118,7619,7220,14925,15627,None,no,The study was very straightforward and easy to follow,Male,21,expert,no
29089701,Mozilla/5.0 (X11; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0,False,both,states,2,500,13,NY,DL,airline,200,2000,AA,4600,weak_agree,5800,5800,agree,4000,WN,2000,strong_agree,1000,MA,4000,weak_disagree,5500,5500,strong_agree,4000,NJ,500,weak_agree,True,True,strong_agree,3000,UA,600,583,weak_disagree,5000,5800,5163,agree,weak_disagree,"UA,AA,VX,DL,WN,EV","UA,AA,DL,EV,B6,WN","UA,AA,VX,DL,EV,B6,WN",0.8571428571428571,0.8571428571428571,0.7142857142857143,1000,B6,5000,5113,weak_disagree,3000,EV,1200,1998,weak_disagree,True,True,strong_agree,5000,5500,5085,weak_agree,3000,CA,1500,1887,weak_agree,4000,PR,1000,950,weak_agree,2000,FL,3500,4986,weak_agree,weak_disagree,"CA,FL,MA,NY,NJ,PR","CA,FL,VA,MA,PR,NJ,NY","CA,FL,VA,MA,PR,NJ,NY",0.8571428571428571,1.0,0.8571428571428571,23446,14977,194955,41792,6553,22523,25830,28346,28123,4081,27441,12584,No.,no,No.,male,30,familiar,no
76395409,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; rv:11.0) like Gecko,False,both,states,14,200,20,MA,B6,airline,200,4200,VX,200,agree,5100,5200,agree,2700,EV,2600,agree,500,NY,4400,strong_agree,4500,4600,agree,3000,CA,1800,agree,True,True,weak_agree,-250,DL,5600,5163,weak_disagree,5000,5200,5113,agree,weak_agree,"UA,AA,VX,DL,EV,B6","UA,AA,VX,DL,EV,B6,WN","UA,AA,VX,DL,EV,B6,WN",0.8571428571428571,1.0,0.8571428571428571,4700,UA,200,583,weak_agree,4000,VX,200,153,agree,True,True,agree,4900,4600,3928,strong_agree,2000,CA,1800,1887,weak_agree,-1000,FL,6000,4986,agree,3000,VA,600,961,agree,agree,"CA,FL,MA,NY,NJ,PR","CA,FL,VA,MA,PR,NJ,NY","CA,FL,VA,MA,PR,NJ,NY",0.8571428571428571,1.0,0.8571428571428571,51611,17793,329370,74163,5518,34005,39011,25083,3866,8495,84788,5408,No,no,No,Female,37,familiar,yes
9782123,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",False,onlyNew,airline,7,100,12,MA,B6,states,100,2000,VX,100,weak_disagree,5800,5800,weak_agree,3000,EV,1500,weak_agree,200,NJ,400,agree,5200,5300,strong_agree,2000,VA,800,weak_disagree,True,True,strong_agree,1500,DL,4700,5163,neutral,5100,5800,5113,strong_agree,weak_agree,"UA,VX,DL,WN,EV,OO,B6","UA,AA,VX,DL,EV,B6,WN","UA,AA,VX,DL,EV,B6,WN",0.75,1.0,0.75,1000,VX,100,153,weak_agree,-100,WN,2800,2155,unknown,True,True,strong_agree,4000,5300,3928,agree,3900,NJ,400,327,agree,-200,NY,4900,5085,weak_agree,3500,PR,600,950,weak_agree,weak_agree,"CA,FL,MA,NY,NJ,PR","CA,FL,VA,MA,PR,NJ,NY","CA,FL,VA,MA,PR,NJ,NY",0.8571428571428571,1.0,0.8571428571428571,27780,106682,100988,16657,23842,21262,20273,68082,78085,3249,17243,10516,No Problems,no,No suggestions,male,30,some,no
28428523,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",False,difference,states,3,500,16,FL,B6,airline,100,5000,AA,4900,strong_disagree,18200,4300,strong_agree,6000,DL,5100,strong_disagree,1000,MA,4000,strong_agree,5000,5000,strong_agree,4000,PR,1000,strong_agree,True,True,agree,1000,AA,4900,4088,agree,5000,4300,5113,agree,strong_agree,"UA,AA,VX,DL,WN,EV,B6","UA,AA,VX,DL,EV,B6,WN","UA,AA,VX,DL,EV,B6,WN",1.0,1.0,1.0,3800,VX,400,153,agree,2000,EV,2200,1998,agree,True,True,agree,4600,5000,4986,agree,4000,NJ,500,327,agree,2600,CA,2000,1887,agree,3800,VA,1000,961,agree,strong_agree,"CA,FL,VA,MA,PR,NJ","CA,FL,VA,MA,PR,NJ,NY","CA,FL,VA,MA,PR,NJ,NY",0.8571428571428571,1.0,0.8571428571428571,45880,17408,195067,184615,5319,35786,15381,22610,52853,5174,20541,16204,none,no,none,male,31,none,no
29657674,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",False,difference,states,7,1,1,FL,B6,airline,1000,-1000,DL,4000,neutral,3000,3000,agree,0,EV,3000,weak_agree,-100,NY,5085,neutral,4800,4986,agree,4000,VA,961,weak_disagree,True,True,strong_agree,1000,DL,4000,5163,strong_disagree,5000,3000,5113,agree,agree,"UA,AA,VX,DL,WN,EV,B6","WN,AA,DL,B6,EV","UA,AA,VX,DL,EV,B6,WN",1.0,0.7142857142857143,0.7142857142857143,0,AA,5000,4088,strong_disagree,2500,EV,3000,1998,disagree,False,False,strong_agree,4900,4986,4986,agree,-100,NY,5085,5085,neutral,1000,CA,1887,1887,strong_disagree,3900,MA,3928,3928,weak_agree,agree,"CA,FL,VA,MA,NY,NJ","CA,FL,VA,MA,PR,NJ,NY","CA,FL,VA,MA,PR,NJ,NY",0.8571428571428571,1.0,0.8571428571428571,33223,35016,95854,25401,5994,138049,50695,34951,35086,59105,34038,8755,No,no,"Not sure how to improve it, but looking at the second airline chart was very weird and disorienting for me. Maybe it would have been easier if the tick was the old data and the bar chart was the new data.",Male,33,familiar,no
45694489,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.75 Safari/537.36",False,difference,airline,4,1000,10,FL,AA,states,500,1000,B6,5000,disagree,2500,2500,strong_agree,-1000,EV,1500,disagree,3000,NY,4000,weak_agree,7700,8000,agree,4500,CA,3000,agree,True,True,strong_agree,-1000,DL,5500,5163,weak_disagree,5000,2500,4088,weak_agree,agree,"UA,AA,DL,EV,B6","UA,AA,DL,EV,B6,WN","UA,AA,VX,DL,EV,B6,WN",0.7142857142857143,0.8571428571428571,0.8333333333333334,-1500,UA,1000,583,disagree,2000,EV,1500,1998,weak_disagree,True,True,strong_agree,6000,8000,4986,weak_agree,-1000,NY,4000,5085,weak_agree,2000,CA,3000,1887,disagree,3000,MA,3000,3928,weak_disagree,agree,"CA,FL,MA,NY,PR","CA,FL,MA,NY","CA,FL,VA,MA,PR,NJ,NY",0.7142857142857143,0.5714285714285714,0.8,62842,46833,181839,38102,22571,62522,96185,60316,172982,44786,45099,33973,"No, not at all.",no,Very well-designed study. Great!,Male,24,familiar,no
79273300,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",False,onlyNew,airline,1,1000,18,MA,AA,states,1,500,VX,153,strong_disagree,4200,4088,agree,300,WN,2155,strong_disagree,1500,PR,1000,strong_disagree,4300,4000,agree,2000,NY,2000,strong_disagree,True,False,weak_agree,2200,DL,5163,5163,weak_agree,4100,4088,4088,unknown,weak_agree,"UA,AA,AS,DL,VX,EV,B6","UA,AA,VX,DL,EV,B6,WN","UA,AA,VX,DL,EV,B6,WN",0.75,1.0,0.75,3000,B6,5113,5113,weak_agree,3500,EV,1998,1998,disagree,True,True,agree,4100,4000,3928,agree,-3000,NY,2000,5085,disagree,500,CA,2000,1887,weak_agree,300,FL,8000,4986,weak_disagree,weak_disagree,"CA,FL,TX,MA,NY,PR","CA,FL,VA,MA,PR,NY","CA,FL,VA,MA,PR,NJ,NY",0.625,0.8571428571428571,0.7142857142857143,33897,24353,112306,23154,5319,19017,17823,42965,1187,511301,11370,14835,-,no,-,female,39,expert,no
43548417,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.75 Safari/537.36",False,difference,states,14,100,18,MA,B6,airline,1000,6000,DL,1000,weak_agree,7750,8000,agree,3000,WN,5000,agree,4000,NJ,400,weak_agree,4700,3700,agree,3000,CA,1900,weak_agree,True,True,strong_agree,4500,DL,1000,5163,neutral,5000,8000,5113,weak_agree,neutral,"UA,AA,DL,B6,WN","AA,DL,B6,WN","UA,AA,VX,DL,EV,B6,WN",0.7142857142857143,0.5714285714285714,0.8,2000,AA,5000,4088,weak_disagree,3000,WN,5000,2155,neutral,True,True,strong_agree,5000,3700,3928,agree,2000,NY,4800,5085,neutral,1000,CA,1900,1887,neutral,3500,VA,1100,961,weak_agree,weak_agree,"CA,VA,MA,NY,NJ","CA,FL,VA,MA,PR,NJ,NY","CA,FL,VA,MA,PR,NJ,NY",0.7142857142857143,1.0,0.7142857142857143,28320,15911,98199,27766,7876,41816,36456,14502,,,19665,12410,none,no,"none that I can think of,",Male,30,familiar,no
